MMS ID,S3 Path,Local Path
991011590743904641,01GCL_INST/storage/alma/FA/B1/A9/45/BE/F3/8F/F4/F9/89/B9/A0/25/2F/E5/3F/grinnell_6252_OBJ.tiff,/Volumes/exports/phpp-dcl/OBJ/grinnell_6252_OBJ.tiff
991011590744104641,01GCL_INST/storage/alma/FA/D7/EC/7E/DE/CF/D8/A8/1C/90/35/D0/75/13/E7/BD/grinnell_6063_OBJ.tiff,/Volumes/exports/phpp-dcl/OBJ/grinnell_6063_OBJ.tiff
991011590744304641,01GCL_INST/storage/alma/5A/43/5D/4C/F2/3A/71/BE/87/17/D2/89/33/89/8F/A4/grinnell_6168_OBJ.tiff,/Volumes/exports/phpp-dcl/OBJ/grinnell_6168_OBJ.tiff
991011590744404641,01GCL_INST/storage/alma/48/A7/3C/22/36/83/7F/FC/71/98/69/F2/AC/A1/0E/2E/grinnell_6455_OBJ.tiff,/Volumes/exports/phpp-dcl/OBJ/grinnell_6455_OBJ.tiff
991011590744704641,01GCL_INST/storage/alma/FD/FB/9B/FE/07/F7/1E/C9/1B/8E/68/9D/F9/B8/D0/A6/grinnell_6239_OBJ.tiff,/Volumes/exports/phpp-dcl/OBJ/grinnell_6239_OBJ.tiff
991011590744804641,01GCL_INST/storage/alma/72/FF/07/1E/95/02/8E/46/6B/B2/9D/3A/E9/CC/71/3C/grinnell_6167_OBJ.tiff,/Volumes/exports/phpp-dcl/OBJ/grinnell_6167_OBJ.tiff
991011590744904641,01GCL_INST/storage/alma/9B/45/35/61/D3/B9/AD/79/0D/69/87/D3/F9/43/64/89/grinnell_6238_OBJ.tiff,/Volumes/exports/phpp-dcl/OBJ/grinnell_6238_OBJ.tiff
991011590745004641,01GCL_INST/storage/alma/39/DA/09/BD/10/7D/EB/4F/CA/1E/50/C9/2A/54/6A/7C/grinnell_6166_OBJ.tiff,/Volumes/exports/phpp-dcl/OBJ/grinnell_6166_OBJ.tiff
991011590745104641,01GCL_INST/storage/alma/60/EF/28/74/37/B6/51/95/94/E1/29/ED/73/F4/76/E1/grinnell_6062_OBJ.tiff,/Volumes/exports/phpp-dcl/OBJ/grinnell_6062_OBJ.tiff
991011590745304641,01GCL_INST/storage/alma/92/1D/0A/2B/BF/32/CF/86/18/9B/1C/66/57/19/5E/8F/grinnell_6454_OBJ.tiff,/Volumes/exports/phpp-dcl/OBJ/grinnell_6454_OBJ.tiff
991011591179304641,01GCL_INST/storage/alma/FC/4A/C4/19/81/30/72/A6/F6/B3/C9/B9/6C/D9/63/7A/grinnell_23249_OBJ.tiff,/Users/mcfatem/GitHub/migrate-MODS-to-dcterms/data/phpp-ghm/OBJ/grinnell_23249_OBJ.tiff
991011591179404641,01GCL_INST/storage/alma/86/60/04/11/B8/66/D1/4B/E5/9D/21/EA/30/45/6C/87/grinnell_26615_OBJ.tiff,/Users/mcfatem/GitHub/migrate-MODS-to-dcterms/data/phpp-ghm/OBJ/grinnell_26615_OBJ.tiff
991011591179504641,01GCL_INST/storage/alma/6C/D7/19/82/87/B5/BE/75/58/88/32/11/29/1D/CF/B0/grinnell_23248_OBJ.tiff,/Users/mcfatem/GitHub/migrate-MODS-to-dcterms/data/phpp-ghm/OBJ/grinnell_23248_OBJ.tiff
991011591179604641,01GCL_INST/storage/alma/02/EE/C0/78/85/8E/0F/5D/AA/7A/A1/E7/5E/6B/E0/D2/grinnell_26614_OBJ.tiff,/Users/mcfatem/GitHub/migrate-MODS-to-dcterms/data/phpp-ghm/OBJ/grinnell_26614_OBJ.tiff
